I, 745, 2.99449%
the, 636, 2.55637%
and, 513, 2.06198%
to, 473, 1.9012%
you, 437, 1.7565%
of, 432, 1.7364%
a, 408, 1.63994%
my, 330, 1.32642%
in, 283, 1.13751%
is, 263, 1.05712%
that, 258, 1.03702%
it, 254, 1.02094%
s, 248, 0.996825%
not, 237, 0.952611%
his, 212, 0.852124%
your, 204, 0.819969%
me, 201, 0.80791%
he, 199, 0.799871%
have, 192, 0.771735%
be, 187, 0.751638%
for, 182, 0.731541%
him, 178, 0.715463%
her, 170, 0.683307%
PAROLLES, 164, 0.65919%
will, 149, 0.598899%
this, 146, 0.58684%
with, 142, 0.570762%
so, 128, 0.51449%
BERTRAM, 127, 0.510471%
but, 123, 0.494393%
HELENA, 123, 0.494393%
Lord, 120, 0.482334%
LAFEU, 111, 0.446159%
And, 107, 0.430082%
shall, 103, 0.414004%
KING, 97, 0.389887%
First, 96, 0.385868%
The, 95, 0.381848%
COUNTESS, 95, 0.381848%
as, 94, 0.377829%
do, 90, 0.361751%
she, 89, 0.357731%
our, 89, 0.357731%
lord, 89, 0.357731%
d, 88, 0.353712%
all, 88, 0.353712%
was, 87, 0.349693%
thou, 87, 0.349693%
sir, 87, 0.349693%
no, 87, 0.349693%
are, 87, 0.349693%
That, 87, 0.349693%
know, 85, 0.341654%
would, 80, 0.321556%
thee, 79, 0.317537%
thy, 77, 0.309498%
what, 76, 0.305479%
good, 76, 0.305479%
by, 75, 0.301459%
am, 75, 0.301459%
we, 74, 0.29744%
To, 72, 0.289401%
well, 67, 0.269303%
ll, 67, 0.269303%
Clown, 66, 0.265284%
more, 65, 0.261265%
Second, 65, 0.261265%
But, 65, 0.261265%
if, 63, 0.253226%
on, 62, 0.249206%
from, 62, 0.249206%
at, 62, 0.249206%
t, 61, 0.245187%
say, 61, 0.245187%
which, 59, 0.237148%
or, 58, 0.233128%
love, 58, 0.233128%
they, 56, 0.225089%
What, 56, 0.225089%
You, 54, 0.217051%
He, 53, 0.213031%
were, 52, 0.209012%
an, 52, 0.209012%
DIANA, 51, 0.204992%
them, 50, 0.200973%
one, 50, 0.200973%
had, 49, 0.196953%
My, 49, 0.196953%
there, 48, 0.192934%
A, 48, 0.192934%
Enter, 47, 0.188914%
man, 45, 0.180875%
make, 45, 0.180875%
hath, 45, 0.180875%
upon, 44, 0.176856%
honour, 44, 0.176856%
great, 44, 0.176856%
If, 42, 0.168817%
too, 41, 0.164798%
speak, 41, 0.164798%
must, 41, 0.164798%
can, 41, 0.164798%
yet, 40, 0.160778%
now, 40, 0.160778%
mine, 40, 0.160778%
here, 40, 0.160778%
Soldier, 40, 0.160778%
most, 39, 0.156759%
O, 39, 0.156759%
us, 38, 0.152739%
think, 38, 0.152739%
than, 38, 0.152739%
own, 38, 0.152739%
see, 37, 0.14872%
may, 37, 0.14872%
madam, 37, 0.14872%
like, 37, 0.14872%
very, 36, 0.1447%
tis, 36, 0.1447%
should, 35, 0.140681%
ring, 35, 0.140681%
king, 35, 0.140681%
give, 35, 0.140681%
when, 34, 0.136661%
In, 34, 0.136661%
such, 33, 0.132642%
son, 33, 0.132642%
come, 33, 0.132642%
wife, 32, 0.128623%
take, 32, 0.128623%
out, 32, 0.128623%
let, 32, 0.128623%
mother, 31, 0.124603%
did, 31, 0.124603%
Widow, 31, 0.124603%
Exit, 30, 0.120584%
As, 30, 0.120584%
never, 29, 0.116564%
When, 29, 0.116564%
time, 28, 0.112545%
then, 28, 0.112545%
has, 28, 0.112545%
ever, 28, 0.112545%
Which, 28, 0.112545%
So, 28, 0.112545%
Of, 28, 0.112545%
their, 27, 0.108525%
much, 27, 0.108525%
life, 27, 0.108525%
knave, 27, 0.108525%
